order_id;date;company_id;company_name;crate_type;contact_data;salesowners
f47ac10b-58cc-4372-a567-0e02b2c3d479;29.01.22;1e2b47e6-499e-41c6-91d3-09d12dddfbbd;Fresh Fruits Co;Plastic;"[{ ""contact_name"":""Curtis"", ""contact_surname"":""Jackson"", ""city"":""Chicago"", ""cp"": ""12345""}]";Leonard Cohen, Luke Skywalker, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d480;21.02.22;0f05a8f1-2bdf-4be7-8c82-4c9b58f04898;Veggies Inc;Wood;"[{ ""contact_name"":""Maria"", ""contact_surname"":""Theresa"", ""city"":""Calcutta""}]";Luke Skywalker, David Goliat, Leon Leonov
f47ac10b-58cc-4372-a567-0e02b2c3d481;03.04.22;1e2b47e6-499e-41c6-91d3-09d12dddfbbd;Fresh Fruits c.o;Metal;"[{ ""contact_name"":""Para"", ""contact_surname"":""Cetamol"", ""city"":""Frankfurt am Oder"", ""cp"": 3934}]";Luke Skywalker
f47ac10b-58cc-4372-a567-0e02b2c3d482;14.07.21;1c4b0b50-1d5d-463a-b56e-1a6fd3aeb7d6;Seafood Supplier;Plastic;;David Goliat, Leonard Cohen
f47ac10b-58cc-4372-a567-0e02b2c3d483;23.10.22;34538e39-cd2e-4641-8d24-3c94146e6f16;Meat Packers Ltd;Plastic;;Chris Pratt, David Henderson, Marianov Merschik, Leon Leonov
f47ac10b-58cc-4372-a567-0e02b2c3d484;15.05.22;fa14c3ed-3c48-49f4-bd69-4d7f5b5f4b1b;Green Veg Co;Wood;"[{ ""contact_name"":""John"", ""contact_surname"":""Krasinski"", ""city"":""New York"", ""cp"": ""1203""}]";Leonard Cohen, David Henderson
f47ac10b-58cc-4372-a567-0e02b2c3d485;31.12.22;2e90f2b1-d237-47a6-96e8-6d01c0d78c3e;Seafood Supplier GmbH;Metal;;Markus Söder, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d486;01.04.22;acdb6f30-764f-404e-8b8e-7e7e3e6fa1a9;Organic Farms;Metal;"[{ ""contact_name"":""Jennifer"", ""contact_surname"":""Lopez"", ""city"":""Esplugues de Llobregat""}]";David Henderson, Leonard Cohen, Leon Leonov
f47ac10b-58cc-4372-a567-0e02b2c3d487;04.09.22;5f0bdbdf-1d84-4c23-957c-8bb8c0ddc89d;Tropical Fruits Ltd;Plastic;"{ ""contact_name"":""Liav"", ""contact_surname"": ""Ichenbaum"", ""city"":""Tel Aviv""}";Yuri Gagarin, David Goliat, David Henderson
f47ac10b-58cc-4372-a567-0e02b2c3d488;07.11.22;27c59f76-5d26-4b82-a89b-59f8dfd2e9a7;Healthy Snacks;Plastic;"[{ ""contact_name"":""Curtis"", ""contact_surname"":""Jackson"", ""city"":""Chicago"", ""cp"": ""12345""}]";Ammy Winehouse, Marie Curie, Chris Pratt
f47ac10b-58cc-4372-a567-0e02b2c3d489;09.07.22;20dfef10-8f4e-45a1-82fc-123f4ab2a4a5;healthy snacks c.o.;Wood;"[{ ""contact_name"":""Anthony"", ""contact_surname"":""Pap"", ""city"":""Barcelona"", ""cp"": 8023}]";Marianov Merschik, Vladimir Chukov, Luke Skywalker
f47ac10b-58cc-4372-a567-0e02b2c3d490;18.06.22;4a98d9ec-65f6-438f-9a0c-0d9e1a6f7c65;Fresh Berries Inc;Plastic;"[{ ""contact_name"":""Natalia"", ""contact_surname"":""Romanov"", ""city"":""Moscow"", ""cp"": ""65432""}]";Leonard Cohen, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d491;12.08.22;f3b70f8d-bb74-4d96-b1f2-88e5c0c68b14;Meat Express Ltd;Metal;"[{ ""contact_name"":""Bruce"", ""contact_surname"":""Wayne"", ""city"":""Gotham""}]";Chris Pratt, Marie Curie, Yuri Gagarin
f47ac10b-58cc-4372-a567-0e02b2c3d492;22.09.22;83df789a-b30c-4a1b-8e67-1f512bfa20c7;Tropical Fresh Co;Wood;"[{ ""contact_name"":""Clark"", ""contact_surname"":""Kent"", ""city"":""Metropolis"", ""cp"": ""10001""}]";Leonard Cohen, David Henderson, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d493;27.10.22;9b31b19f-69a2-4aeb-8f6e-f4b8d2f9c12a;Veggies Unlimited;Plastic;;Leon Leonov, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d494;15.11.22;d4e31b02-ea50-46b7-a8a1-43fdbb06e3fa;Global Seafood Co;Metal;"[{ ""contact_name"":""Tony"", ""contact_surname"":""Stark"", ""city"":""New York""}]";Yuri Gagarin, Leonard Cohen
f47ac10b-58cc-4372-a567-0e02b2c3d495;28.12.22;5c17d142-4b21-4293-8a34-8dcd2bc24f82;Fresh Farms Ltd;Wood;"[{ ""contact_name"":""Diana"", ""contact_surname"":""Prince"", ""city"":""Themyscira"", ""cp"": ""45789""}]";David Goliat, Chris Pratt, Marie Curie
f47ac10b-58cc-4372-a567-0e02b2c3d496;02.01.23;2b42dcb7-bc74-4e56-93f8-7612d5061d5f;Healthy Greens Co;Plastic;"[{ ""contact_name"":""Peter"", ""contact_surname"":""Parker"", ""city"":""Queens"", ""cp"": ""11432""}]";Leonard Cohen, Ammy Winehouse, Marie Curie
f47ac10b-58cc-4372-a567-0e02b2c3d497;19.02.23;6d3f48b2-4e3c-49d5-b437-735d537bb2a6;Fruits & Veggies Co;Wood;"[{ ""contact_name"":""Steve"", ""contact_surname"":""Rogers"", ""city"":""Brooklyn"", ""cp"": ""11201""}]";Chris Pratt, Yuri Gagarin
f47ac10b-58cc-4372-a567-0e02b2c3d498;11.03.23;1f06b236-f6b5-4f48-8c1c-7b55b5c7d6f7;Green Farms Inc;Metal;"[{ ""contact_name"":""Natasha"", ""contact_surname"":""Romanov"", ""city"":""Moscow"", ""cp"": ""65432""}]";Ammy Winehouse, Leon Leonov
f47ac10b-58cc-4372-a567-0e02b2c3d499;05.04.23;7d4b212e-29e5-4f2a-9b28-745a3c7f0b60;Organic Veggies Ltd;Plastic;"[{ ""contact_name"":""Bruce"", ""contact_surname"":""Banner"", ""city"":""San Francisco"", ""cp"": ""94102""}]";David Henderson, Leonard Cohen, Ammy Winehouse
f47ac10b-58cc-4372-a567-0e02b2c3d500;08.05.23;8f1c5d4a-9045-4be5-bb38-7f587f478a92;Farm Fresh Co;Metal;"[{ ""contact_name"":""Selina"", ""contact_surname"":""Kyle"", ""city"":""Gotham""}]";Chris Pratt, Leonard Cohen, Ammy Winehouse
